NBED,NBATH,NFLOOR,BLDAR,LNDAR,CERT,LOC,Price
6,1,1,148,148,SHM,Setia Budi,1100000000
5,4,3,84,200,SHM,Tebet,2100000000
3,3,2,134,130,SHM,Pasar Minggu,2800000000
3,2,1,132,100,SHM,Pesanggrahan,1480000000
3,4,2,92,147,SHM,Pesanggrahan,2300000000
3,2,2,70,72,SHM,Kebayoran Lama,975000000
3,2,2,83,75,SHM,Cilandak,885000000
2,1,1,60,30,SHM,Pancoran,30000000
2,1,1,80,50,SHM,Pancoran,632800000
2,1,1,60,28,HGB,Kebayoran Baru,179000000
2,1,1,60,28,HGB,Pesanggrahan,179000052
4,4,3,72,105,SHM,Kebayoran Lama,1650000000
3,2,1,89,87,SHM,Pancoran,1690000000
3,2,2,94,90,SHM,Cilandak,1100000000
3,1,1,84,84,SHM,Kebayoran Lama,950000000
4,3,2,120,176,SHM,Pesanggrahan,2500000000
4,3,2,105,115,SHM,Cilandak,1400000000
4,3,2,105,115,SHM,Cilandak,1500000000
3,1,1,80,80,SHM,Pancoran,1100000000
2,2,1,100,85,Lainnya,Pesanggrahan,740000000
4,3,2,105,115,SHM,Pesanggrahan,1500000000
3,3,2,72,72,SHM,Cilandak,1950000000
3,2,2,120,150,SHM,Cilandak,2400000000
3,3,2,60,90,SHM,Pasar Minggu,1700000000
3,3,2,70,84,SHM,Kebayoran Baru,1600000000
3,2,2,178,115,SHM,Kebayoran Baru,1000000000
4,2,2,79,140,SHM,Cilandak,1975000000
3,2,2,102,117,SHM,Kebayoran Lama,1800000000
5,4,2,100,110,SHM,Kebayoran Lama,1350000000
2,1,1,120,40,HGB,Pancoran,345111000
5,2,2,165,110,SHM,Kebayoran Lama,1650000000
2,1,1,26,26,SHM,Pasar Minggu,310000000
2,2,2,60,55,SHM,Mampang Prapatan,790000000
2,1,1,60,27,SHM,Kebayoran Baru,150500000
2,1,1,86,45,SHM,Cilandak,285000000
2,1,1,60,36,SHM,Cilandak,265000000
3,3,2,60,79,SHM,Kebayoran Baru,1170000000
3,3,2,60,55,SHM,Pasar Minggu,800000000
4,4,3,72,125,SHM,Pesanggrahan,1600000000
3,2,2,72,82,SHM,Kebayoran Baru,1300000000
3,2,2,60,75,SHM,Kebayoran Lama,1000000006
4,3,2,74,90,SHM,Cilandak,1260070000
3,3,2,60,80,SHM,Pasar Minggu,900000001
3,2,2,70,84,SHM,Cilandak,1600000000
3,2,2,70,84,SHM,Kebayoran Baru,1600000000
3,2,2,70,84,SHM,Mampang Prapatan,1600000000
2,1,1,60,58,SHM,Cilandak,599000000
3,3,2,84,104,SHM,Kebayoran Baru,1554000000
2,1,1,200,150,SHM,Kebayoran Baru,635000000
3,2,2,70,120,SHM,Pesanggrahan,775000000
4,4,3,72,126,SHM,Kebayoran Baru,1600000000
2,1,1,84,104,SHM,Cilandak,1554000000
4,4,3,72,126,SHM,Kebayoran Lama,1600000000
4,4,3,72,126,SHM,Pesanggrahan,1600000000
3,3,2,84,104,SHM,Mampang Prapatan,1554000000
4,4,3,72,126,SHM,Cilandak,1600000000
5,4,2,98,150,SHM,Pesanggrahan,1900000000
3,3,1,186,140,SHM,Pesanggrahan,2700000000
3,2,2,73,70,SHM,Pancoran,895000002
3,2,2,60,60,SHM,Pancoran,550000000
4,4,3,72,126,SHM,Mampang Prapatan,1600000000
3,3,2,70,84,SHM,Cilandak,1600000000
3,2,2,72,70,SHM,Mampang Prapatan,875000000
4,4,3,72,126,SHM,Pasar Minggu,1600000000
3,2,2,72,70,SHM,Pesanggrahan,875000000
3,2,2,84,47,SHM,Kebayoran Lama,5000000
2,1,2,42,52,SHM,Cilandak,625000000
3,2,2,60,120,SHM,Kebayoran Baru,650000000
5,4,2,153,250,SHM,Pesanggrahan,2600000000
3,2,2,50,100,SHM,Pasar Minggu,1300000000
3,2,1,85,85,SHM,Pasar Minggu,625000000
2,1,1,62,45,SHM,Cilandak,445000000
5,4,2,96,140,SHM,Pesanggrahan,2000000000
5,4,2,96,140,SHM,Mampang Prapatan,2000000000
2,1,1,72,46,SHM,Kebayoran Baru,715000000
2,1,1,60,27,SHM,Kebayoran Lama,150500611
4,4,2,72,126,SHM,Cilandak,1600000000
4,3,2,84,104,SHM,Mampang Prapatan,1500000000
3,2,2,84,105,SHM,Cilandak,650000000
4,3,2,84,104,SHM,Pesanggrahan,1500000000
3,2,2,65,90,SHM,Mampang Prapatan,1200000004
3,3,2,71,66,SHM,Mampang Prapatan,1200000001
3,2,2,60,74,SHM,Mampang Prapatan,989000000
3,2,3,15,51,SHM,Pancoran,1175000000
4,4,2,100,140,SHM,Cilandak,1299000000
3,3,2,72,140,SHM,Cilandak,1560000000
3,2,2,60,74,SHM,Pesanggrahan,989000000
2,2,2,49,100,SHM,Pasar Minggu,1300000000
2,1,1,62,45,SHM,Kebayoran Baru,445000000
3,3,2,96,131,SHM,Kebayoran Lama,2700000001
2,1,1,62,45,SHM,Kebayoran Lama,445000000
2,1,1,60,45,SHM,Pancoran,285000000
2,1,1,70,46,SHM,Pesanggrahan,715000000
2,1,1,70,46,SHM,Kebayoran Baru,715000000
3,3,2,71,66,SHM,Kebayoran Lama,1200000001
3,2,2,83,75,SHM,Pasar Minggu,800000010
2,1,1,62,45,SHM,Mampang Prapatan,445000000
2,1,1,36,35,Lainnya,Kebayoran Lama,275000000
