n_bedroom,n_bathroom,n_lantai,luas_tanah,luas_bangunan,sertifikasi,location,price
5,5,2,133,200,SHM,Jagakarsa,2460000000
6,1,1,148,148,SHM,Setia Budi,1100000000
5,4,3,84,200,SHM,Tebet,2100000000
4,3,2,160,190,SHM,Cilandak,3600000000
3,3,1,303,250,SHM,Kebayoran Lama,10500000000
4,5,2,329,400,SHM,Cilandak,7500000000
6,5,2,280,400,HGB,Pesanggrahan,5500000000
3,3,2,134,130,SHM,Pasar Minggu,2800000000
5,5,1,30000,300,SHM,Kebayoran Baru,29999999999
7,6,2,500,536,SHM,Pancoran,17250000000
10,5,2,159,135,SHM,Kebayoran Lama,7500000000
8,4,3,94,94,SHM,Kebayoran Lama,4000000000
3,2,1,132,100,SHM,Pesanggrahan,1480000000
3,4,2,92,147,SHM,Pesanggrahan,2300000000
7,8,2,627,1050,SHM,Kebayoran Lama,59000000000
6,4,3,230,331,SHM,Cilandak,4999999999
6,1,4,160,250,SHM,Kebayoran Baru,5000000000
3,3,1,500,350,SHM,Kebayoran Lama,13800000000
3,2,2,70,72,SHM,Kebayoran Lama,975000000
6,5,2,160,400,SHM,Kebayoran Lama,9250000000
7,2,2,920,370,SHM,Cilandak,11000000000
3,2,2,83,75,SHM,Cilandak,885000000
6,6,2,412,470,SHM,Mampang Prapatan,17500000000
8,6,2,878,650,SHM,Cilandak,25000000000
6,6,2,1248,500,SHM,Pesanggrahan,11500000000
2,1,1,60,30,SHM,Pancoran,30000000
2,1,1,80,50,SHM,Pancoran,632800000
9,7,3,729,700,SHM,Cilandak,15500000000
9,7,2,729,700,SHM,Cilandak,15500000000
2,1,1,60,28,HGB,Kebayoran Baru,179000000
3,2,0,206,160,SHM,Cilandak,4500000000
4,6,2,449,350,SHM,Mampang Prapatan,13700000000
2,1,1,60,28,HGB,Pesanggrahan,179000052
4,4,3,72,105,SHM,Kebayoran Lama,1650000000
4,2,1,183,100,SHM,Cilandak,6200000000
7,7,1,1721,700,SHM,Kebayoran Baru,34000000000
5,4,3,300,300,SHM,Cilandak,7700000000
4,4,2,329,400,SHM,Cilandak,7500000000
3,2,1,89,87,SHM,Pancoran,1690000000
4,2,2,247,270,SHM,Kebayoran Baru,10500000000
10,6,2,1365,900,SHM,Pasar Minggu,16000000000
3,2,2,94,90,SHM,Cilandak,1100000000
5,4,2,210,300,SHM,Cilandak,9000000000
5,3,2,214,250,SHM,Kebayoran Baru,12500000000
5,4,2,226,178,SHM,Cilandak,4650000000
4,3,2,152,125,SHM,Cilandak,3150000000
3,1,1,84,84,SHM,Kebayoran Lama,950000000
4,3,2,120,176,SHM,Pesanggrahan,2500000000
4,3,2,105,115,SHM,Cilandak,1400000000
4,3,2,105,115,SHM,Cilandak,1500000000
6,6,2,1040,800,SHM,Pasar Minggu,8500000000
4,3,2,188,200,SHM,Cilandak,3050000000
3,1,1,80,80,SHM,Pancoran,1100000000
2,2,1,100,85,Lainnya,Pesanggrahan,740000000
4,3,2,105,115,SHM,Pesanggrahan,1500000000
3,3,2,162,130,SHM,Cilandak,3180000000
3,3,2,72,72,SHM,Cilandak,1950000000
3,4,2,330,401,SHM,Cilandak,7500000000
4,4,1,1053,400,SHM,Kebayoran Baru,27000000000
4,3,2,332,403,SHM,Kebayoran Baru,7500000000
3,3,2,334,404,SHM,Kebayoran Lama,7500000000
4,4,2,335,405,SHM,Kebayoran Lama,7500000000
3,3,2,336,406,SHM,Mampang Prapatan,7500000000
3,2,2,120,150,SHM,Cilandak,2400000000
5,3,2,189,300,SHM,Pasar Minggu,5900000000
3,3,2,60,90,SHM,Pasar Minggu,1700000000
4,4,3,180,82,SHM,Pancoran,3200000000
4,5,2,187,250,SHM,Cilandak,6000000000
5,5,2,580,500,SHM,Pasar Minggu,13900000000
6,6,2,170,270,SHM,Kebayoran Baru,180000000
10,7,2,648,400,SHM,Cilandak,13000000000
3,3,2,70,84,SHM,Kebayoran Baru,1600000000
3,3,2,180,217,SHM,Kebayoran Baru,4999000000
3,2,2,178,115,SHM,Kebayoran Baru,1000000000
4,2,2,350,190,SHM,Cilandak,4900000000
8,8,2,864,500,SHM,Kebayoran Baru,70000000000
5,3,1,253,253,SHM,Pesanggrahan,3000000000
4,2,2,79,140,SHM,Cilandak,1975000000
7,7,2,475,350,SHM,Pasar Minggu,9500000000
3,2,2,102,117,SHM,Kebayoran Lama,1800000000
3,3,2,758,600,SHM,Mampang Prapatan,20000000000
6,6,1,250,200,SHM,Kebayoran Lama,1250000000
5,4,2,100,110,SHM,Kebayoran Lama,1350000000
2,1,1,120,40,HGB,Pancoran,345111000
5,2,2,165,110,SHM,Kebayoran Lama,1650000000
5,3,3,130,350,SHM,Mampang Prapatan,7000000000
2,1,1,26,26,SHM,Pasar Minggu,310000000
2,2,2,60,55,SHM,Mampang Prapatan,790000000
6,4,1,518,300,SHM,Pancoran,25000000000
2,1,1,60,27,SHM,Kebayoran Baru,150500000
2,1,1,86,45,SHM,Cilandak,285000000
3,2,1,300,200,SHM,Pesanggrahan,5300000000
7,4,2,565,300,SHM,Pesanggrahan,7000000000
2,1,1,60,36,SHM,Cilandak,265000000
3,3,2,60,79,SHM,Kebayoran Baru,1170000000
3,3,2,60,55,SHM,Pasar Minggu,800000000
4,4,3,72,125,SHM,Pesanggrahan,1600000000
3,2,2,72,82,SHM,Kebayoran Baru,1300000000
3,2,2,60,75,SHM,Kebayoran Lama,1000000006
4,3,2,74,90,SHM,Cilandak,1260070000
3,3,2,60,80,SHM,Pasar Minggu,900000001
3,2,2,70,84,SHM,Cilandak,1600000000
3,2,2,70,84,SHM,Kebayoran Baru,1600000000
3,2,2,70,84,SHM,Mampang Prapatan,1600000000
2,1,1,60,58,SHM,Cilandak,599000000
3,3,2,84,104,SHM,Kebayoran Baru,1554000000
2,1,0,200,150,SHM,Kebayoran Baru,635000000
6,4,2,1500,500,SHM,Mampang Prapatan,23000000000
3,2,2,70,120,SHM,Pesanggrahan,775000000
7,5,2,820,250,SHM,Cilandak,12650000000
4,4,3,72,126,SHM,Kebayoran Baru,1600000000
2,1,1,84,104,SHM,Cilandak,1554000000
4,4,3,72,126,SHM,Kebayoran Lama,1600000000
4,4,3,72,126,SHM,Pesanggrahan,1600000000
3,3,2,84,104,SHM,Mampang Prapatan,1554000000
4,4,3,72,126,SHM,Cilandak,1600000000
5,4,2,98,150,SHM,Pesanggrahan,1900000000
3,3,1,186,140,SHM,Pesanggrahan,2700000000
3,2,2,73,70,SHM,Pancoran,895000002
3,2,2,60,60,SHM,Pancoran,550000000
4,4,3,72,126,SHM,Mampang Prapatan,1600000000
3,3,2,70,84,SHM,Cilandak,1600000000
3,2,2,72,70,SHM,Mampang Prapatan,875000000
4,4,3,72,126,SHM,Pasar Minggu,1600000000
3,2,2,72,70,SHM,Pesanggrahan,875000000
3,2,2,84,47,SHM,Kebayoran Lama,5000000
2,1,2,42,52,SHM,Cilandak,625000000
3,2,2,60,120,SHM,Kebayoran Baru,650000000
5,4,2,153,250,SHM,Pesanggrahan,2600000000
7,5,2,1460,500,SHM,Pasar Minggu,19000000000
3,2,2,50,100,SHM,Pasar Minggu,1300000000
3,2,1,85,85,SHM,Pasar Minggu,625000000
2,1,1,62,45,SHM,Cilandak,445000000
5,4,2,96,140,SHM,Pesanggrahan,2000000000
4,3,2,182,160,SHM,Cilandak,4650000000
5,4,2,96,140,SHM,Mampang Prapatan,2000000000
2,1,1,72,46,SHM,Kebayoran Baru,715000000
2,1,1,60,27,SHM,Kebayoran Lama,150500611
4,4,2,72,126,SHM,Cilandak,1600000000
4,3,2,84,104,SHM,Mampang Prapatan,1500000000
3,2,2,84,105,SHM,Cilandak,650000000
4,3,2,84,104,SHM,Pesanggrahan,1500000000
3,2,2,65,90,SHM,Mampang Prapatan,1200000004
3,3,2,71,66,SHM,Mampang Prapatan,1200000001
3,2,2,60,74,SHM,Mampang Prapatan,989000000
3,2,3,15,51,SHM,Pancoran,1175000000
4,4,2,100,140,SHM,Cilandak,1299000000
3,3,2,72,140,SHM,Cilandak,1560000000
3,2,2,60,74,SHM,Pesanggrahan,989000000
2,2,2,49,100,SHM,Pasar Minggu,1300000000
2,1,1,62,45,SHM,Kebayoran Baru,445000000
5,5,2,386,495,SHM,Pesanggrahan,6500000000
5,4,2,123,150,SHM,Mampang Prapatan,4000000000
3,3,2,96,131,SHM,Kebayoran Lama,2700000001
5,4,2,123,150,SHM,Pesanggrahan,4000000000
2,1,1,62,45,SHM,Kebayoran Lama,445000000
2,1,1,60,45,SHM,Pancoran,285000000
2,1,1,70,46,SHM,Pesanggrahan,715000000
2,1,1,70,46,SHM,Kebayoran Baru,715000000
3,3,2,71,66,SHM,Kebayoran Lama,1200000001
3,2,2,83,75,SHM,Pasar Minggu,800000010
2,1,1,62,45,SHM,Mampang Prapatan,445000000
3,4,2,234,185,SHM,Pesanggrahan,3800000000
1,3,3,700,600,SHM,Cilandak,29900000000
2,1,1,36,35,Lainnya,Kebayoran Lama,275000000
4,5,2,93,180,SHM,Kebayoran Baru,1800000000
5,4,1,1300,400,SHM,Kebayoran Baru,22000000000
4,4,2,700,400,SHM,Pesanggrahan,11000000000
2,1,1,78,60,SHM,Mampang Prapatan,649000000
2,1,1,62,45,SHM,Pancoran,445000000
2,1,1,78,50,SHM,Pesanggrahan,492000000
2,1,1,78,50,SHM,Kebayoran Baru,492000000
2,1,1,62,45,SHM,Pasar Minggu,445000000
4,4,2,250,225,SHM,Mampang Prapatan,8000000004
2,2,2,60,58,SHM,Mampang Prapatan,600000001
