web-scraper-order,web-scraper-start-url,house,house-href,price,location,luas_bangunan,luas_tanah,sertifikasi,n_bedroom,n_bathroom,n_lantai
"1669844714-482","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 2.460.000.0005 KT - 5 KM - 200 m2Rumah Luas Strategis 2 Menit Ke Tol Andara Harga All In Bisa KPRJagakarsa, Jakarta Selatan20 Sep","https://www.olx.co.id/item/rumah-luas-strategis-2-menit-ke-tol-andara-harga-all-in-bisa-kpr-iid-873971474","Rp 2.460.000.000","Jagakarsa, Jakarta Selatan, Jakarta D.K.I.","200","133","SHM - Sertifikat Hak Milik","5","5","2"
"1669844722-483","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 875.000.0002 KT - 1 KM - 45 m2Jual Rumah Ciputat - Tanah Luas - Dekat Stasiun dan Mall (Turun Harga)Ciputat, Tangerang Selatan Kota7 hari yang lalu","https://www.olx.co.id/item/jual-rumah-ciputat-tanah-luas-dekat-stasiun-dan-mall-turun-harga-iid-879737535","Rp 875.000.000","Ciputat, Tangerang Selatan Kota, Banten","45","140","SHM - Sertifikat Hak Milik","2","1","1"
"1669844729-484","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 1.310.000.0003 KT - 2 KM - 75 m2Rumah Minimalis Dekat Ciledug Tangerang Harga All In Nego Bisa KPRCiledug, Tangerang Kota29 Agu","https://www.olx.co.id/item/rumah-minimalis-dekat-ciledug-tangerang-harga-all-in-nego-bisa-kpr-iid-871956402","Rp 1.310.000.000","Ciledug, Tangerang Kota, Banten","75","100","SHM - Sertifikat Hak Milik","3","2","1"
"1669844736-485","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 7.500.000.0005 KT - 4 KM - 350 m2Langka siap huni rumah tomang jakarta baratPalmerah, Jakarta Barat23 Agu","https://www.olx.co.id/item/langka-siap-huni-rumah-tomang-jakarta-barat-iid-871405706","Rp 7.500.000.000","Palmerah, Jakarta Barat, Jakarta D.K.I.","350","235","SHM - Sertifikat Hak Milik","5","4","2"
"1669844747-486","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 2.460.000.0005 KT - 5 KM - 200 m2Rumah Siap KPR di Cinere 2 Menit ke Tol Andara Harga All In Bisa NegoCinere, Depok Kota19 Sep","https://www.olx.co.id/item/rumah-siap-kpr-di-cinere-2-menit-ke-tol-andara-harga-all-in-bisa-nego-iid-873938970","Rp 2.460.000.000","Cinere, Depok Kota, Jawa Barat","200","133","SHM - Sertifikat Hak Milik","5","5","2"
"1669844766-487","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 1.920.000.0003 KT - 3 KM - 130 m2Dijual Rumah Luas di Griya Citra Madani Harga All In KPR Bisa NegoCinere, Depok Kota09 Nov","https://www.olx.co.id/item/dijual-rumah-luas-di-griya-citra-madani-harga-all-in-kpr-bisa-nego-iid-878436474","Rp 1.920.000.000","Cinere, Depok Kota, Jawa Barat","130","169","SHM - Sertifikat Hak Milik","3","3","1"
"1669844778-488","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 1.860.000.0002 KT - 2 KM - 124 m2Rumah Industrial Modern Siap KPR di Urban Place Harga All InCiputat, Tangerang Selatan Kota19 Okt","https://www.olx.co.id/item/rumah-industrial-modern-siap-kpr-di-urban-place-harga-all-in-iid-876578131","Rp 1.860.000.000","Ciputat, Tangerang Selatan Kota, Banten","124","74","SHM - Sertifikat Hak Milik","2","2","2"
"1669844789-489","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 1.250.000.0004 KT - 3 KM - 100 m2Jual rumah akses memuaskanCiracas, Jakarta Timur30 Okt","https://www.olx.co.id/item/jual-rumah-akses-memuaskan-iid-877568976","Rp 1.250.000.000","Ciracas, Jakarta Timur, Jakarta D.K.I.","100","82","SHM - Sertifikat Hak Milik","4","3","2"
"1669844801-490","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 1.100.000.0006 KT - 1 KM - 148 m2Kwsn SAHARDJO,Rmh Petak,Lb/Lt:148/148m2,SHM,Kotak,Menteng Atas,TEBET.Setia Budi, Jakarta Selatan21 Agu","https://www.olx.co.id/item/kwsn-sahardjormh-petaklblt148148m2shmkotakmenteng-atastebet-iid-763853355","Rp 1.100.000.000","Setia Budi, Jakarta Selatan, Jakarta D.K.I.","148","148","SHM - Sertifikat Hak Milik","6","1","1"
"1669844809-491","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 960.000.0003 KT - 1 KM - 90 m2Rumah Strategis Siap KPR Dekat Alam Sutera Harga All In Bebas BanjirCiledug, Tangerang Kota17 Nov","https://www.olx.co.id/item/rumah-strategis-siap-kpr-dekat-alam-sutera-harga-all-in-bebas-banjir-iid-868283463","Rp 960.000.000","Ciledug, Tangerang Kota, Banten","90","103","SHM - Sertifikat Hak Milik","3","1","1"
